Country,ISO3,P1: State Legitimacy,Human,avg_gdp_pcap,gdp_pcap_growth_volatility,unemployment,inflation,Exposure to Natural Hazard,Aid Dependency,Flood,Tsunami,Tropical Cyclone,Drought,Communication,Quality of Infrastructure,gp_risk,ec_risk,nd_risk,sc_risk,overall_weights,gp_rating,ec_rating,nd_rating,sc_rating,ov_rating
ALBANIA,ALB,60.0,1.0,96.10575861676101,11.37485763519178,59.51249966935246,13.846461598357497,100.0,14.0,47.0,78.0,0.0,68.0,23.0,49.4,27.347612226681928,62.19624288344672,77.98095923083191,38.714809582307595,47.241535568374346,4,10,9,5,7.0
ALGERIA,DZA,72.0,67.0,95.94376706423365,8.11661369195859,39.236346434341684,11.89420182900635,59.6,1.0,52.0,46.0,0.0,41.0,37.0,66.1,69.2328484937866,52.37176753426356,50.38534852171202,54.32200601686178,61.827635490659034,9,8,6,8,7.75
ARGENTINA,ARG,45.0,12.0,90.60634564719673,28.25829748738346,29.783697190953372,84.46358877124129,54.5,0.0,65.0,0.0,0.0,31.0,15.0,70.3,26.736800058991587,50.448734557386004,24.730311455757356,47.917764011424616,25.94844746489091,4,8,3,7,5.5
ARMENIA,ARM,81.0,20.0,96.70460903523029,28.15132122548138,68.29649458439023,16.65765253944649,100.0,18.0,44.0,0.0,0.0,46.0,22.0,49.1,47.24075162419658,69.80702520268989,32.224651952842905,38.13149013941423,41.340901951437665,6,10,4,5,6.25
AUSTRALIA,AUS,7.0,1.0,48.74217357952938,2.7867716915535223,21.486135145404965,14.074755726144637,38.1,0.0,53.0,72.0,48.0,66.0,20.0,40.4,3.679418192543925,27.02702949885629,60.362200711981515,32.14326194996496,25.950174461986098,1,1,7,3,3.0
AUSTRIA,AUT,14.0,0.0,55.17706394074199,10.65798360834292,20.969967711429046,16.276345710156917,47.3,0.0,55.0,0.0,0.0,5.0,11.0,16.5,6.251975782602492,30.640218322439495,21.21630594961291,14.273918662980748,12.131485133976808,2,2,3,1,2.0
AZERBAIJAN,AZE,88.30319977867435,58.0,94.76065418011486,33.42666805835337,18.455462527833998,22.327982303688486,99.9,2.0,49.0,0.0,0.0,53.0,18.0,34.3,71.53249079654552,47.866931913127885,33.07382094441795,27.702704401197487,56.4220176571938,9,7,4,3,5.75
BAHRAIN,BHR,83.67130365016482,2.0,79.55321588990454,23.574499026098408,4.035559907703339,10.072433939505864,5.400000000000006,0.0,1.0,0.0,0.0,0.0,4.0,30.5,38.47192946817177,34.118445250557166,1.4996875786703352,19.77433537617997,23.945476262145984,5,2,1,2,2.5
BANGLADESH,BGD,75.0,66.0,99.46842778945881,6.00823882733363,16.181885917508772,26.97130086255263,100.0,6.0,100.0,82.0,69.0,50.0,56.0,77.3,70.01912728881588,42.810009389439834,89.56182671050482,68.67899409481635,77.69748527200335,9,5,10,9,8.25
BELGIUM,BEL,17.0,55.0,58.078170753723874,5.948306908649537,28.702567214830285,15.13312208599442,22.099999999999994,0.0,40.0,0.0,0.0,5.0,20.0,36.8,38.030351447221804,34.137393299903394,12.412106834839655,30.000333370559375,27.964902002892483,5,2,2,3,3.0
BENIN,BEN,51.00000000000001,27.0,99.6052856447734,21.01604566945123,9.095830322734173,12.776320511309365,17.299999999999997,23.0,51.0,0.0,0.0,5.0,77.0,88.5,37.7176727701757,42.77695896565233,13.1565276358569,83.84546629532339,28.06755940819961,5,5,2,10,5.5
